region,Moderaterna,Centerpartiet,Folkpartiet,Kristdemokraterna,Miljopartiet,Socialdemokraterna,Vansterpartiet,Sverigedemokraterna,Ovriga
"Falun";"31.5";"28.9";"8.1";"5.7";"8.0";"5.5";"5.5";"5.0";"1.8"
"Borlänge";"39.6";"23.2";"6.0";"5.0";"5.4";"9.2";"6.6";"3.5";"1.5"
"Säter";"33.8";"26.2";"4.9";"4.6";"11.7";"7.8";"5.6";"4.2";"1.2"
"Hedemora";"36.4";"23.9";"6.1";"3.5";"9.6";"8.3";"6.4";"4.6";"1.3"
"Avesta";"44.1";"22.9";"4.9";"4.8";"6.3";"7.2";"5.4";"3.5";"1.0"
"Ludvika";"45.1";"20.7";"5.1";"5.0";"3.9";"7.6";"8.2";"3.3";"1.1"
"Ockelbo";"41.0";"19.8";"5.4";"3.4";"12.5";"7.8";"6.1";"2.9";"1.0"
"Hofors";"49.7";"15.5";"4.2";"5.0";"4.0";"7.4";"11.0";"2.0";"1.3"
"Ovanåker";"37.8";"18.9";"4.2";"3.6";"15.7";"5.2";"3.6";"10.0";"0.9"
"Nordanstig";"37.7";"18.8";"4.6";"5.6";"11.4";"8.5";"7.0";"4.9";"1.5"
"Ljusdal";"37.0";"24.1";"5.2";"4.4";"9.5";"6.9";"7.4";"3.6";"1.9"
"Gävle";"34.6";"27.2";"7.5";"6.8";"4.6";"7.4";"6.8";"3.8";"1.2"
"Sandviken";"44.1";"21.1";"5.1";"5.0";"5.6";"6.0";"8.1";"3.8";"1.1"
"Söderhamn";"43.4";"20.2";"5.2";"3.9";"6.9";"8.4";"7.0";"3.3";"1.7"
"Bollnäs";"36.8";"22.3";"5.3";"5.4";"9.6";"8.4";"6.8";"4.3";"1.1"
"Hudiksvall";"37.0";"21.8";"7.2";"4.1";"10.1";"5.7";"8.1";"4.4";"1.6"
"Ånge";"49.8";"18.9";"3.1";"3.2";"7.7";"5.9";"6.9";"2.9";"1.6"
"Timrå";"49.8";"18.5";"3.8";"4.9";"5.5";"6.0";"7.3";"2.9";"1.3"
"Härnösand";"40.2";"22.4";"8.1";"5.5";"7.4";"4.0";"6.4";"4.1";"1.9"
"Sundsvall";"38.4";"26.3";"6.3";"6.7";"5.1";"5.5";"6.0";"3.9";"1.8"
"Kramfors";"50.5";"15.7";"4.6";"3.1";"9.9";"3.1";"8.4";"3.4";"1.3"
"Sollefteå";"52.3";"15.5";"4.5";"3.5";"6.4";"4.5";"7.0";"2.7";"3.5"
"Örnsköldsvik";"46.9";"19.0";"4.5";"4.2";"9.5";"3.0";"4.1";"6.9";"1.8"
"Ragunda";"50.6";"14.7";"3.5";"1.8";"13.8";"3.8";"8.0";"1.5";"2.2"
